YearMonth,High,Average,Low
198303,43,34,26
198304,51,42,33
198305,63,53,42
198306,80,68,56
198307,87,75,64
198308,85,73,61
198309,72,61,49
198310,60,50,40
198311,46,38,31
198312,19,11,3
198401,23,15,6
198402,39,31,22
198403,35,27,20
198404,55,46,36
198405,65,54,43
198406,80,69,58
198407,81,70,58
198408,84,71,59
198409,72,60,48
198410,62,52,42
198411,45,36,26
198412,35,26,17
198501,22,12,2
198502,26,18,9
198503,47,38,28
198504,63,52,41
198505,74,61,49
198506,77,65,53
198507,83,71,59
198508,77,67,56
198509,72,62,52
198510,59,49,39
198511,38,31,25
198512,22,11,1
198601,27,17,8
198602,27,20,12
198603,46,36,26
198604,62,51,39
198605,70,59,48
198606,79,67,55
198607,83,73,63
198608,76,65,54
198609,71,62,53
198610,59,50,40
198611,41,32,22
198612,32,25,19
198701,30,22,15
198702,40,30,21
198703,47,38,28
198704,62,50,38
198705,73,61,49
198706,83,71,59
198707,85,74,64
198708,78,69,59
198709,72,61,50
198710,55,44,33
198711,48,40,32
198712,34,28,22
198801,23,13,4
198802,27,18,8
198803,45,35,25
198804,59,47,34
198805,76,61,47
198806,86,70,55
198807,88,74,61
198808,86,74,62
198809,76,63,50
198810,54,43,32
198811,46,38,30
198812,33,24,15
198901,35,27,19
198902,24,14,5
198903,40,30,21
198904,56,45,33
198905,68,56,45
198906,78,66,54
198907,84,72,61
198908,79,68,58
198909,71,59,47
198910,63,50,38
198911,42,33,23
198912,22,13,4
199001,37,28,20
199002,36,25,15
199003,46,37,28
199004,59,48,37
199005,64,54,43
199006,78,67,57
199007,81,70,60
199008,80,69,59
199009,74,63,52
199010,59,48,36
199011,50,40,30
199012,30,21,12
199101,24,14,5
199102,35,26,17
199103,46,36,27
199104,61,49,38
199105,73,63,53
199106,82,70,58
199107,83,71,60
199108,82,70,58
199109,71,60,49
199110,59,49,38
199111,39,31,22
199112,34,25,17
199201,31,25,18
199202,36,29,22
199203,43,34,25
199204,52,43,34
199205,71,58,44
199206,77,65,52
199207,77,67,57
199208,76,64,53
199209,69,59,49
199210,59,48,36
199211,39,34,29
199212,31,24,17
199301,29,21,12
199302,29,21,12
199303,39,31,23
199304,52,43,33
199305,70,59,48
199306,75,65,55
199307,80,71,61
199308,81,71,61
199309,65,56,46
199310,59,47,35
199311,42,34,26
199312,31,25,19
199401,18,8,-2
199402,25,14,4
199403,44,34,25
199404,60,48,35
199405,70,57,43
199406,81,69,57
199407,80,70,59
199408,76,66,55
199409,73,63,53
199410,62,52,41
199411,48,39,31
199412,36,28,21
199501,26,19,11
199502,30,22,13
199503,46,36,26
199504,52,42,32
199505,67,56,45
199506,83,71,59
199507,84,73,62
199508,85,75,66
199509,70,58,46
199510,61,50,39
199511,36,28,20
199512,28,20,12
199601,26,16,6
199602,29,20,11
199603,38,28,17
199604,54,42,31
199605,63,53,44
199606,77,67,57
199607,79,68,57
199608,80,69,58
199609,72,61,50
199610,61,50,38
199611,36,29,21
199612,29,22,16
199701,24,15,6
199702,32,24,16
199703,43,34,25
199704,54,43,32
199705,63,52,40
199706,80,68,56
199707,81,70,59
199708,76,66,56
199709,73,61,50
199710,61,50,39
199711,40,33,27
199712,34,28,22
199801,31,25,18
199802,41,34,28
199803,42,35,27
199804,59,48,37
199805,74,63,51
199806,77,67,56
199807,83,72,60
199808,81,71,61
199809,78,65,53
199810,62,52,41
199811,49,40,32
199812,40,30,21
199901,24,16,8
199902,39,31,24
199903,45,34,24
199904,59,49,38
199905,72,60,49
199906,80,68,57
199907,86,75,65
199908,78,68,57
199909,73,60,47
199910,61,49,37
199911,55,43,31
199912,34,26,18
200001,29,20,11
200002,39,30,20
200003,53,42,31
200004,57,46,34
200005,71,60,48
200006,76,66,56
200007,80,70,60
200008,80,70,59
200009,73,62,51
200010,65,54,42
200011,42,35,28
200012,21,11,2
200101,29,21,13
200102,29,21,12
200103,40,31,23
200104,62,51,39
200105,71,60,49
200106,76,66,56
200107,85,73,61
200108,82,72,61
200109,70,60,49
200110,59,49,39
200111,56,46,36
200112,38,31,23
200201,36,28,20
200202,39,30,21
200203,40,30,20
200204,57,47,37
200205,65,54,43
200206,80,69,58
200207,87,75,63
200208,82,71,59
200209,77,65,52
200210,55,46,37
200211,43,35,26
200212,35,27,19
200301,26,17,9
200302,29,19,9
200303,43,33,23
200304,58,45,33
200305,67,56,45
200306,77,65,53
200307,82,71,59
200308,85,73,60
200309,74,62,50
200310,62,49,37
200311,46,37,29
200312,36,29,21
200401,23,16,8
200402,33,24,15
200403,47,39,30
200404,61,48,35
200405,69,57,45
200406,76,65,55
200407,79,69,59
200408,75,65,54
200409,78,65,52
200410,61,51,41
200411,48,40,32
200412,33,25,17
200501,27,19,11
200502,36,29,22
200503,41,31,22
200504,64,50,37
200505,66,55,44
200506,84,72,61
200507,84,72,61
200508,82,71,59
200509,79,67,54
200510,63,52,40
200511,47,38,29
200512,25,19,12
200601,38,32,25
200602,32,23,14
200603,43,34,25
200604,63,51,39
200605,69,58,48
200606,78,67,55
200607,85,74,63
200608,81,70,60
200609,69,59,49
200610,55,46,36
200611,48,40,31
200612,37,30,22
200701,32,24,16
200702,22,14,6
200703,48,38,28
200704,55,45,35
200705,75,62,49
200706,81,69,57
200707,83,71,59
200708,81,71,62
200709,76,64,52
200710,66,56,46
200711,45,36,27
200712,28,20,13
200801,27,18,10
200802,25,16,7
200803,38,30,21
200804,57,47,37
200805,67,55,42
200806,78,68,58
200807,82,71,60
200808,81,69,57
200809,74,63,53
200810,59,49,39
200811,45,37,29
200812,27,17,6
200901,20,10,1
200902,34,24,15
200903,45,34,24
200904,57,45,34
200905,69,58,47
200906,78,67,56
200907,76,66,55
200908,77,67,57
200909,75,63,51
200910,53,45,38
200911,52,42,33
200912,29,22,16
201001,24,18,11
201002,31,23,16
201003,50,39,28
201004,65,52,40
201005,71,60,49
201006,79,68,58
201007,84,74,64
201008,83,73,63
201009,71,61,51
201010,66,52,39
201011,48,39,29
201012,26,19,11
201101,24,17,9
201102,30,22,14
201103,41,32,23
201104,54,45,36
201105,67,56,46
201106,78,68,57
201107,87,76,65
201108,82,70,59
201109,70,59,49
201110,64,52,40
201111,48,39,31
201112,37,30,22
201201,33,24,16
201202,38,30,22
201203,60,49,39
201204,58,47,36
201205,75,63,50
201206,83,70,57
201207,91,79,66
201208,82,70,57
201209,74,61,47
201210,59,48,37
201211,46,37,28
201212,37,30,23
201301,30,21,12
201302,28,20,12
201303,35,27,18
201304,52,43,33
201305,71,59,47
201306,77,67,57
201307,81,71,60
201308,81,69,58
201309,76,63,51
201310,60,49,39
201311,42,34,25
201312,26,17,8
201401,20,10,0
201402,21,11,1
201403,36,25,15
201404,56,44,33
201405,69,58,47
201406,79,69,59
201407,78,67,57
201408,81,70,59
201409,72,61,49
201410,59,49,39
201411,37,29,21
201412,34,28,22
201501,26,18,11
201502,21,11,1
201503,44,32,21
201504,60,48,35
201505,70,59,49
201506,77,66,55
201507,80,69,58
201508,79,68,58
201509,78,67,57
201510,62,52,41
201511,51,42,32
201512,41,36,30
201601,26,19,13
201602,34,27,20
201603,49,39,30
201604,57,46,35
201605,70,58,46
201606,80,69,57
201607,82,72,62
201608,82,72,62
201609,76,66,56
201610,63,54,44
201611,54,44,34
201612,28,22,16
201701,30,23,17
201702,42,32,23
201703,43,34,25
201704,61,50,39
201705,66,55,45
201706,80,68,57
201707,81,71,60
201708,77,67,56
201709,77,64,52
201710,63,54,44
201711,43,35,27
201712,30,22,15
201801,27,19,10
