Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
3/21/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
3/21/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
3/21/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/17/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/17/2017,Epic: King's Cross,Epic: King's Cross,4.75,debit,Epic Meal,Bank of America ,,
3/16/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/16/2017,Epic: King's Cross,Epic: King's Cross,4.75,debit,Epic Meal,Bank of America ,,
3/15/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/15/2017,Epic: King's Cross,Epic: King's Cross,4,debit,Epic Meal,Bank of America ,,
3/14/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
3/14/2017,Epic: Cassiopeia,Epic: Cassiopeia,5,debit,Epic Meal,Bank of America ,,
3/14/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/13/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
3/13/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.5,debit,Epic Meal,Bank of America ,,
3/13/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/10/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
3/10/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
3/9/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
3/9/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/8/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/8/2017,Epic: King's Cross,Epic: King's Cross,4.25,debit,Epic Meal,Bank of America ,,
3/7/2017,Epic: Cassiopeia,Epic: Cassiopeia,4,debit,Epic Meal,Bank of America ,,
